happyword	angryword	sadword	disgustword	scaredword	surpriseword
	動亂	遺憾	料想不到的		
	動搖	尷尬	格外		
	動盪	懦弱	格外的		
	動盪的局面	傷心	格鬥		
	問題	難受	慇勤		
	堅決主張	難過	浪子		
	張揚	鬱悶	浪費		
	得罪	淒婉	浪費的		
	得罪人	淒然	浪蕩		
	得罪人的人	淒愴	浪蕩的		
	捲入		浮渣		
	掩埋		特權		
	掩飾		烤焦		
	掩蔽		烙印		
	敗壞		烈酒		
	敗壞的		狼吞虎嚥		
	敗壞道德之事		狹小		
	猜想		狹路		
	猜疑		畜生		
	異議		留下傷痕		
	盛怒		疾走		
	羞怯		疾風		
	羞恥		疾病		
	羞恥的		疾駛		
	羞辱		病人		
	羞惱		病人的		
	羞愧		病狂		
	處..以罰金		病的		
	處置		病弱		
	被吼叫著表達出來		病弱的		
	被沾污		病弱的人		
	被潑水弄濕		破布條		
	被潑水弄濕的		破衣服		
	責怪		破門		
	責備		破門盜竊		
	責備話		破洞		
	責罵		破掉		
	責罵不休		破敗		
	責難		破敗的		
	逞威		破爛		
	逞威風		破爛的		
	逞威風的		神經		
	造反		神經的		
	造反的		神經病		
	造成破壞		神經病的		
	造成破壞的		神經病患者		
	造成損失		神經過敏		
	造成損害		神經過敏的		
	造成損害的		神經緊張		
	造成錯覺		神經緊張的		
	報仇		神經質		
	報怨		神經質的		
	報怨聲		神經錯亂		
	報復		破產		
	悶死		破產了		
	悶住		破產了的		
	悶悶		破產者		
	悶熱		破裂		
	悶熱的		破裂處		
	惱火		破碎		
	掌摑		破舊		
	掌擊		破舊的		
	插嘴		秘密		
	提心吊膽		秘密的		
	提心吊膽的		秘教		
	提出..來反對		秘教的		
	提出論據反對		紊亂		
	提防		耗費		
	揭穿		耗費的		
	揮猛烈沖打		缺席		
	揮霍		缺席的		
	揮霍的		缺席者		
	揮霍無度		缺陷		
	揮霍無度的		缺德		
	揮擊		缺德的		
	敦促		缺點		
	敢冒		耗費		
	散落		耗費的		
	斑塊		耗盡		
	斑駁		耗盡的		
	斑駁的		耽擱		
	斑點		脂肪		
	替..報仇		脆的		
	朝..反衝		脆弱		
	棘手		脆弱的		
	棘手的		臭味		
	棍打		臭氣		
	痛打		臭蟲		
	痛苦		荒地		
	痛苦的根源		荒年		
	痛苦的經驗		荒年的		
	痛處		荒唐		
	發出尖銳		荒唐的		
	發出尖銳的聲音		荒涼		
	發出刺耳		荒涼的		
	發出刺耳的聲音		荒野		
	發出刺耳聲		荒野的		
	發出呻吟聲		荒廢		
	發出咯咯聲		荒廢的		
	發出咯咯聲的東西		荒蕪		
	發出砰然聲		荒蕪的		
	發出砰聲		荒謬		
	發出嘈雜		荒謬的		
	發出嘈雜的聲音		荒謬的言行		
	發出嘈雜聲		討厭		
	發出撞擊聲		討厭的		
	發出顫聲		討厭的人		
	發生矛盾		討厭的人或東西		
	發作		討厭的事		
	發牢騷		退出		
	發狂		退回		
	發狂的		退役		
	發脾氣		退步		
	發嗚咽聲		退卻		
	發愁		退場		
	發愁的人		退學		
	發瘋		酒鬼		
	發瘋似		追捕		
	發瘋似的		追逐		
	發誓		追訴		
	發誓要		追訴時效		
			追趕		
			追擊		
			追蹤		
			退避		
			逃亡		
			逃亡的		
			逃亡者		
			逃犯		
			逃走		
			逃走的		
			逃走的人		
			逃掉		
			逃跑		
			酒醉		
			酒醉的		
			針刺		
			飢餓		
			偽君子		
			偽造		
			偽造物		
			偽造的		
			偽造品		
			偽善		
			偽善者		
			高價		
			高價地		
			鬼鬼祟祟		
			鬼鬼祟祟的人		
			鬼鬼祟祟做事		
			乾燥		
			乾燥的		
			停止		
			停業		
			停業清理		
			偷東西		
			假冒		
			假冒的		
			假冒品		
			假毒品		
			假面目		
			假托		
			假貨		
			假裝		
			假裝的		
			做作		
			做假		
			做錯		
			偷東西		
			偷偷		
			偷偷地吃		
			偷偷地行動		
			偷偷地做		
			偷偷取得		
			偷偷摸摸		
			偷偷摸摸地行走		
			偷竊		
			勒索		
			勒索所得之款		
			勒除		
			勒除器		
			勒贖		
			偷摸		
			偷摸行走		
			偷摸行走的人		
			偏見		
			偏執狂		
			偏執狂患者		
			勘漏		
			偷偷摸摸的		
			偷偷摸摸的人		
			偷偷摸摸的勾當		
			偷懶		
			偷懶的		
			偏心		
			偏心的		
			偏袒		
			堅持己見		
			堅持己見的		
			執拗		
			執拗的		
			奢侈		
			奢侈的		
			奢華		
			奢華的		
			宿命		
			宿命論		
			宿命論的		
			寄生蟲		
			寄食		
			圈套		
			基礎薄弱		
			堵塞		
			婉拒		
			娼妓		
			密告		
			屠宰		
			屠宰者		
			屠殺		
			屠場		
			庸俗		
			庸俗的		
			強加		
			強打		
			強使		
			強制		
			強制的		
			強姦		
			強要		
			強烈		
			強烈抗議		
			強烈的慾望		
			強盜		
			強盜行為		
			強盜罪		
			強壓		
			強壓的		
			強擊		
			強擠		
			強擠入		
			從..清除		
			從..開小差		
			從事小爭論		
			從事偽造活動		
			情況不好		
			情況不好的		
			情結		
			情節劇似		
			情節劇似的		
			掠奪		
			掠奪行為		
			控訴		
			推卻		
			推托		
			推諉		
			推擠		
			推翻		
			排斥		
			排除		
			梗塞		
			棄義		
			淡而無味		
			淡而無味的		
			淡漠		
			欲墜		
			殺人		
			殺人的		
			殺人者		
			殺人罪		
			殺死		
			殺害		
			殺戮		
			淹沒		
			混沌		
			混淆		
			混蛋		
			混亂		
			混亂的		
			混戰		
			混戰場		
			混濁		
			混濁狀態		
			混雜		
			混雜的		
			淫穢		
			淫穢的		
			淪為		
			淪為乞丐		
			混沌		
			現世		
			現世的		
			現出愁容		
			現實		
			現實的		
			產生反作用		
			產生紋裂		
			異乎		
			異乎尋常		
			異乎尋常的		
			異常		
			異常的		
			異常的人或物		
			疏忽		
			疏忽的		
			疏遠		
			疏遠的		
			硫化		
			笨手		
			笨手笨腳		
			笨手笨腳地做		
			笨拙		
			笨拙地說出		
			笨拙的		
			笨拙的處理		
			笨的		
			笨蛋		
			笨腳		
			粗心		
			粗心大意		
			粗心的		
			粗劣		
			粗劣的		
			粗俗		
			粗俗的		
			粗陋		
			粗陋的		
			粗野		
			粗野的		
			粗話		
			粗製		
			粗暴		
			粗暴地		
			粗暴的		
			粗魯		
			粗魯地對待		
			粗魯的		
			粗魯的人		
			粗魯無禮		
			粗魯無禮的		
			粗魯無禮的人		
			粗糙		
			粗糙地		
			粗糙的		
			絆倒		
			細菌		
			累贅		
			累贅的		
			終止		
			脫口		
			脫口說出		
			處..以罰金		
			處置		
			處境艱難		
			處罰		
			蛀牙		
			蛀蝕		
			蛀壞		
			被玩弄		
			被玩弄的人		
			被侵蝕		
			脫軌		
			脫落		
			脫離		
			脫離常規		
			脫離常規的人		
			脫離聯邦		
			船失事		
			被分解		
			被污染		
			被告		
			被弄死		
			被弄髒		
			被扼死		
			被扼殺		
			被扯破		
			被放逐者		
			被浮渣覆蓋		
			被逐出		
			被逐出的		
			被悶死		
			被掩飾		
			被驅逐		
			被驅逐的人		
			設伏		
			設伏地點		
			設圈套		
			設陷阱		
			設陷阱捕捉		
			貪吃		
			貪污		
			貪污的		
			貪求		
			貪財		
			貪婪		
			貪婪地吃		
			貪婪地注視		
			貪婪的		
			貪得		
			貪得無厭		
			貪得無厭的		
			貪慾		
			貪圖		
			貧乏		
			貧乏的		
			貧困		
			貧困的		
			貧瘠		
			貧瘠的		
			貧窮		
			貧窮的		
			軟弱		
			軟弱的		
			野性		
			野性的		
			野草		
			野獸		
			通俗		
			通俗的		
			通姦		
			通姦行為		
			通貨膨脹		
			透不過氣來		
			透露		
			造謠		
			造謠中傷		
			造謠中傷的		
			野蠻		
			野蠻人		
			野蠻的		
			陰冷		
			陰冷的		
			陰沈		
			陰沈沈		
			陰沈沈的樣子		
			陰沈的		
			陰雨		
			陰森		
			陰森地逼近		
			陰間		
			陰暗		
			陰暗的		
			陰慘		
			陰慘的		
			陰影		
			陰謀		
			陰謀者		
			陰險		
			陰險人		
			麻煩		
			麻煩事		
			麻煩的		
			陷入		
			陷阱		
			陷於		
			麻醉		
			麻醉藥物		
			麻痺		
			傢伙		
			最小限度		
			最低		
			最低水平		
			最沒有		
			最後的審判日		
			最後通牒		
			割下		
			割破		
			割裂		
			割傷		
			割斷		
			勞役		
			勞累		
			喀嚓		
			喀嚓喀嚓行進		
			喧嘩		
			喧嘩吵鬧		
			喧鬧		
			喧鬧的		
			喧鬧的談笑		
			喧鬧聲		
			喧嚷		
			喧嚷的		
			喧囂		
			喧囂的		
			喧囂聲		
			喊叫		
			喊叫聲		
			喜怒無常		
			喜怒無常的		
			喜誇耀		
			喜誇耀的		
			喜歡吵架		
			喜歡吵架的		
			喪友		
			喪心		
			喪心病狂		
			喪心病狂的		
			喋喋		
			喋喋不休		
			喋喋不休地講話		
			喃喃		
			喃喃地說出		
			喃喃自語		
			喃喃低語		
			單調		
			單調的		
			惡化		
			惡兆		
			惡兆的		
			惡劣		
			惡劣地		
			惡劣的		
			惡名		
			惡名昭張		
			惡名昭張的		
			惡名昭著		
			惡名昭著的		
			唾沫		
			唾沫飛濺		
			圍住		
			圍困		
			圍攻		
			圍城		
			報仇		
			報怨		
			報怨聲		
			報復		
			寒冷		
			寒冷刺骨		
			寒冷刺骨的		
			寒冷的		
			寒顫		
			復仇		
			復發		
			惡人		
			惡行		
			惡作劇		
			惡作劇的		
			惡事		
			惡性		
			惡性的		
			惡性腫瘤		
			惡毒		
			惡毒的		
			惡根		
			惡臭		
			惡臭的		
			惡習		
			惡棍		
			惡意		
			惡意的		
			惡運		
			惱人的		
			惱怒		
			揭露		
			殘忍		
			殘忍的		
			殘忍或好色之人		
			殘害		
			殘疾		
			殘疾的		
			殘疾者		
			殘殺		
			殘酷		
			殘酷的		
			殘酷的行為		
			殘廢		
			殘廢的人		
			殘暴		
			殘暴的		
			殘暴的行為		
			殘骸		
			欺侮		
			欺負		
			欺詐		
			欺詐的		
			欺詐者		
			欺瞞		
			欺騙		
			殖民		
			殖民地		
			渣滓		
			減小		
			減少		
			減少之量		
			減去		
			減低		
			減弱		
			減損		
			減縮		
			渺茫		
			渾名		
			焦急		
			無人情味		
			無人情味的		
			無人理睬		
			無人理睬的		
			無人遵守		
			無人遵守的		
			焦痕		
			焦慮		
			焦慮的事		
			焦燥		
			焦躁		
			焦躁的		
			無力		
			無力的		
			無子		
			無子可動		
			無子的		
			無可		
			無可奈何狀態		
			無可爭辯		
			無可爭辯的		
			無可置疑		
			無可置疑的		
			無用		
			無用的		
			無用的老馬		
			無法忍受的		
			無法投遞的郵件		
			無恥		
			無法計數		
			無法計數的		
			無法解決		
			無法解決的		
			無法預料		
			無法預料的		
			無爭論之餘地		
			無爭論之餘地的		
			無知		
			無知的		
			無知識		
			無知識的		
			無知覺		
			無知覺的		
			無信用		
			無勇氣		
			無勇氣的		
			無威嚴		
			無威嚴的		
			無度		
			無政府主義者		
			無政府狀態		
			無重要性		
			無重要性的		
			無家		
			無家可歸		
			無家可歸的		
			無恥的		
			無效		
			無效果		
			無效果的		
			無效的		
			無效能		
			無效能的		
			無效率		
			無益		
			無益的		
			無秩序		
			無秩序的		
			無能		
			無能力		
			無能力的		
			無能力者		
			無能為力		
			無能為力的		
			無動於衷		
			無動於衷的		
			無常		
			無常的		
			無情		
			無情的		
			無深慮		
			無深慮的		
			無理由		
			無理由的		
			無理性		
			無理性的		
			無聊		
			無聊的		
			無慈悲心		
			無慈悲心的		
			無聊的想法		
			無智		
			無智的		
			無策		
			無意義		
			無意義的		
			無意義的事		
			無意識		
			無意識的		
			無感情		
			無感情的		
			無感覺		
			無感覺的		
			無愛情的		
			無準備		
			無準備的		
			無資格		
			無資格的		
			無道德		
			無道德的		
			無遠見		
			無遠見的		
			無價值		
			無價值的		
			無憐憫心		
			無憐憫心的		
			無趣		
			無趣味		
			無趣味的		
			無趣的		
			無遮蔽		
			無遮蔽的		
			無靠		
			無魅力		
			無賴		
			無幫助		
			無幫助的		
			無禮		
			無禮的		
			無禮的人		
			無魅力的		
			無興趣		
			無聲音		
			無聲音的		
			無關		
			無關重要		
			無關重要的		
			無變化		
			無變化的		
			猶豫		
			猶豫的		
			猥褻		
			猥褻的		
			發育停止		
			發育遲緩		
			發昏		
			發炎		
			發疝氣		
			發怒		
			發紅		
			發展遲緩		
			發展遲緩的		
			發臭		
			發臭味		
			發臭的		
			發劈啪聲		
			發熱		
			發燒		
			盜賊		
			盜竊		
			短少		
			短促		
			窖藏		
			硬背		
			硬逼		
			硬擠		
			虛偽		
			虛偽的		
			著火		
			給..不快之感		
			詆毀		
			貶低		
			貶低..的身份		
			貶值		
			貶損		
			貶黜		
			貿然輕率		
			貿然輕率的		
			超出		
			超自然		
			超越誤差		
			超過		
			跋涉		
			跌價		
			跛子		
			跛行		
			跛足		
			跛足的		
			逮捕		
			開除		
			開槍		
			閒混		
			閒散		
			閒蕩		
			順從		
			亂丟		
			傲慢		
			傲慢無禮		
			傾卸		
			傾軋		
			傾倒		
			傾側		
			傾斜		
			傾銷		
			傾銷商品		
			傾覆		
			催吐		
			催吐劑		
			催促		
			剷除		
			嫌惡		
			愛挑剔		
			愛挑剔的		
			愛管閒事		
			愛管閒事的人		
			極小		
			極小的空間		
			煞風景		
			腳步沈重		
			跟..糾纏不休		
			跺腳		
			躲開		
			躲避		
			躲避責任者		
			躲藏		
			躲藏者		
			厭煩		
			監禁		
			監禁所		
			監牢		
			罰金		
			罰款		
			聞出..的臭氣		
			腐朽		
			腐敗		
			腐敗的		
			腐蝕		
			腐蝕性		
			腐蝕性的		
			腐蝕物		
			腐蝕的		
			腐蝕劑		
			腐壞		
			腐爛		
			腐爛的		
			與..不符		
			蒙受恥辱		
			蒙羞		
			蝕壞		
			蝕壞的		
			裹屍布		
			輕佻		
			輕佻的		
			輕信		
			輕信的		
			輕率		
			輕率的		
			輕視		
			輕蔑		
			輕蔑地笑		
			輕蔑的		
			辣的		
			鄙棄		
			鄙視		
			骯髒		
			骯髒的		
			障礙		
			障礙物		
			障礙船具		
			嘮叨		
			嘲弄		
			嘲弄的物件		
			嘲弄的話		
			嘲笑		
			嘲笑的		
			嘲笑著說		
			噴出		
			噴濺		
			噴濺出來		
			噴濺出來的東西		
			噴濺聲		
			廢物		
			廢除		
			廢棄		
			廢棄的		
			廢話		
			廢墟		
			彈劾		
			徵收		
			徵收報復性關稅		
			徵稅		
			憎惡		
			憎恨		
			憎恨之物		
			窮人		
			窮光蛋		
			窮凶		
			窮凶極惡		
			窮凶極惡的		
			賤役		
			賣國		
			賣國賊		
			質地薄		
			賭注		
			賭掉		
			賭博		
			賭運氣		
			罵髒話		
			膚淺		
			膚淺的		
			激怒		
			蕩婦		
			擅自		
			擅自摸弄		
			獨裁		
			獨裁的		
			獨裁者		
			獨裁者的		
			獨斷		
			獨斷的		
			濫用		
			糟粕		
			糟透		
			糟透了		
			糟透了的		
			糟透的		
			矯揉		
			矯揉造作		
			矯揉造作的		
			矯飾		
			褻瀆		
			虧缺		
			謊言		
			謊話		
			謠言		
			謠傳		
			藐視		
			壟斷		
			髒污		
			變污		
			變空		
			變凌亂		
			變弱		
			變破爛		
			變得不愉快		
			變得有缺陷		
			變得冷酷無情		
			變得更壞		
			變得束手無策		
			變得陰沈		
			變得無恥		
			變鈍		
			一面倒		
			一個屁		
			一張臭臉		
			人渣		
			不配		
			不務		
			不務正業		
			不得		
			不清		
			不爽		
			不理		
			不祥		
			不勞		
			不勞而獲		
			不喜歡		
			不尊重		
			不就		
			不敢苟同		
			不智		
			不著		
			不雅觀		
			不順眼		
			不會		
			不經		
			不經心		
			不置可否		
			不義		
			不道德		
			不像		
			不像話		
			不寧		
			不實		
			不對		
			不對勁		
			不彰		
			不滿		
			不衛生		
			不學無術		
			不擇		
			不擇手段		
			不應該		
			不懂		
			不檢		
			不講信用		
			不懷		
			不懷好意		
			不懼		
			不顧		
			不顧一切		
			不歡而散		
			不羈		
			什麼世界		
			什麼東西		
			什麼態度		
			什麼德性		
			冗長		
			冗雜		
			凶什麼		
			凶多吉少		
			凶悍		
			兇猛		
			凶險		
			分化		
			分崩離析		
			分裂		
			分贓		
			反目		
			反叛		
			反胃		
			反悔		
			反感		
			反駁		
			反彈		
			反諷		
			反覆無常		
			天下大亂		
			心胸狹窄		
			心胸狹隘		
			心高氣傲		
			心情不好		
			心情惡劣		
			心煩		
			心煩意亂		
			心虛		
			心碎		
			心酸		
			心機		
			心機很重		
			戶斥		
			欠打		
			欠佳		
			欠你的		
			欠扁		
			欠揍		
			欠干		
			欠罵		
			王八羔子		
			王八蛋		
			世故		
			世儈		
			令人厭惡		
			凹種		
			可恨		
			可恥		
			以牙還牙		
			以怨報怨		
			以怨報德		
			以退為進		
			以偏概全		
			以商逼政		
			以訛傳訛		
			以貌取人		
			古板		
			叫屁		
			叫屈		
			叫苦		
			叫嚷		
			叫囂		
			台獨		
			台灣之恥		
			囚禁		
			犯賤		
			白目		
			白吃		
			白受氣		
			白搞		
			白癡		
			白爛		
			皮條客		
			目中無人		
			目光短淺		
			矛盾		
			丟臉		
			任性		
			凶巴巴		
			兇惡		
			凶暴		
			劣根		
			劣根性		
			吃不下		
			吃屎		
			吃飽太閒		
			吃飽閒閒		
			吃飽撐著		
			在那邊混		
			奸男女		
			奸偽		
			姦情		
			好恨		
			好假		
			好嘔		
			好屌		
			存心		
			尖酸		
			有仇		
			有夠		
			有夠累		
			有夠蠢		
			有個屁用		
			有氣		
			有問題		
			有夠累		
			有夠蠢		
			有個屁用		
			有氣		
			有問題		
			有意		
			有愧		
			有資格		
			有種		
			有點火		
			有礙		
			有礙觀瞻		
			有啥		
			有啥了不起		
			死小鬼		
			死色呸		
			死肥豬		
			死要面子		
			死胖女		
			死胖子		
			死薪水		
			死蟑螂		
			死纏		
			死纏活纏		
			死囡仔		
			死屌		
			老二		
			老不休		
			老奸巨猾		
			老死		
			老到		
			老油條		
			老是		
			老娘		
			老氣橫秋		
			老猴		
			老態龍鍾		
			老謀深算		
			死了		
			死了算了		
			死人		
			死三八		
			死不		
			死不認帳		
			死不瞑目		
			死心		
			死皮賴臉		
			死光		
			死光光		
			死刑		
			死老太婆		
			死老百姓		
			死老頭		
			死色呸		
			死命		
			死東西		
			死板		
			死狗		
			死肥豬		
			死要面子		
			死氣沈沈		
			死蚊子		
			死鬼		
			死寂		
			死得很難看		
			死得難看		
			死掉		
			死魚		
			死魚臉		
			死傢伙		
			死期		
			死黑店		
					
					
			死愛滋		
			死腦筋		
			死裡逃生		
			死德性		
			死樣子		
			死豬頭		
			死澳門仔		
			死貓		
			死賴		
			死薪水		
			死蟑螂		
			死賴		
			污染		
			污辱		
			污蔑		
			污穢		
			污蔑		
			肉麻		
			肉腳		
			自大		
			自以為		
			自以為了不起		
			自以為是		
			自以為清高		
			自作		
			自作主張		
			自作多情		
			自作聰明		
			自求		
			自求多福		
			自私		
			自私到極點		
			自卑		
			自命		
			自命為		
			自命清高		
			自相矛盾		
			自相殘殺		
			自食惡果		
			自掃門前雪		
			自棄		
			自責		
			自閉		
			自欺		
			自誇		
			自滿		
			自認		
			自認為		
			自慰		
			自憐		
			自暴自棄		
			自縛		
			自詡		
			自詡為		
			行為不檢		
			作奸犯科		
			作秀		
			作怪		
			作假		
			作梗		
			作賊		
			作賊喊捉賊		
			作嘔		
			作弊		
			作孽		
			免談		
			吝嗇		
			吹牛		
			妒忌		
			妒恨		
			妓女		
			巫婆		
			忌妒		
			我好恨		
			我恨你		
			沒大沒小		
			沒才華		
			沒天理		
			沒手		
			沒手沒腳		
			沒水準		
			沒出息		
			沒用		
			沒用的傢伙		
			沒好氣		
			沒有		
			沒有用		
			沒有能力		
			沒完沒了		
			沒屁眼		
			沒把握		
			沒事做		
			沒來由		
			沒法		
			沒法子		
			沒法兒		
			沒勁		
			沒品		
			沒品德		
			沒效		
			沒能		
			沒能力		
			沒動逃		
			沒得		
			沒得說		
			沒救		
			沒救了		
			沒教養		
			沒意思		
			沒想		
			沒想到		
			沒腳		
			沒腦袋		
			沒道理		
			沒種		
			沒精		
			沒精打采		
			沒精打彩		
			沒轍		
			沒衛生		
			沒辦法		
			沒關係		
			那裡惹到你		
			那麼沒用		
			那麼干		
			那麼爛		
			貝戈戈		
			貝戈哥		
			貝哥哥		
			走狗		
			走著瞧		
			肚量小		
			乖張		
			卑劣		
			卑微		
			卑鄙		
			卑賤		
			垃圾		
			始作俑者		
			怪人		
			怪力亂神		
			怪物		
			拋棄		
			拍拍屁股找不著人		
			拍拍屁股走人		
			抨擊		
			拘謹		
			拖累		
			拆橋		
			拎背		
			放狗咬我啊		
			放狗		
			拍拍屁股找不著人		
			拍拍屁股走人		
			拍馬屁		
			招搖撞騙		
			抹黑		
			歧視		
			狗屁不通		
			狗男女		
			狗眼		
			狗眼看人低		
			狗嘴		
			狗嘴吐不出象牙		
			狗雜碎		
			侵佔		
			保守		
			俗辣		
			侮辱		
			厚利可圖		
			厚臉		
			厚臉皮		
			厚顏薄恥		
			怨天尤人		
			怨命		
			怨恨		
			怨憤		
			很氣		
			很臭		
			很混		
			很醜		
			很爛		
			很蠢		
			很屌		
			怨天尤人		
			怨命		
			怨恨		
			怨憤		
			挑撥是非		
			挑撥離間		
			是非不分		
			洋鬼子		
			看了就有氣		
			胖子		
			看不起		
			看不過去		
			看不慣		
			看你娘卡好		
			耍色		
			耍我		
			耍賤		
			耍賤招		
			負心		
			剝削		
			剝奪		
			迫害		
			狡詐		
			狡滑		
			狡猾		
			狡詰		
			狡辯		
			胡作非為		
			胡吹		
			胡扯		
			胡言亂語		
			胡來		
			胡思亂想		
			胡亂		
			胡亂搞		
			胡幹		
			胡搞		
			胡說		
			胡說八道		
			胡鬧		
			胡謅		
			倚老賣老		
			食言而肥		
			害人		
			恥笑		
			狼心狗肺		
			狼狽為奸		
			畜生		
			病態		
			真爛		
			真蠢		
			真是爛		
			真是蠢		
			討人嫌		
			討人厭		
			討嫌		
			討厭		
			討厭鬼		
			討價還價		
			高傲		
			偽人		
			偽人之心		
			偽君子		
			偽造		
			偽善		
			偽裝		
			假仁假義		
			假公濟私		
			假心假意		
			假手		
			假正經		
			假惺惺		
			假道學		
			做人情		
			做死做活		
			做作		
			做秀		
			做錯		
			做壞		
			做壞事		
			偷人		
			偷工減料		
			偷罵		
			偷懶		
			婊子		
			教得爛		
			敗家		
			敗家女		
			敗家子		
			敗絮		
			敗類		
			混日		
			混兄弟		
			混吃混住		
			混吃混喝		
			混吃等死		
			混江湖		
			混流氓		
			混蛋		
			笨蛋		
			笨豬		
			鳥東西		
			鳥不拉機		
			鳥態度		
			鳥樣		
			麻煩		
			惡言相向		
			惡果		
			惡毒		
			惡狠		
			惡狠很		
			惱人		
			惱火		
			惱怒		
			猥褻		
			詛咒		
			貶低		
			越氣		
			越想越氣		
			超討厭		
			嫉妒		
			嫌棄		
			嫌貧		
			嫌貧愛富		
			嫌惡		
			嫉羨		
			嫌東嫌西		
			干！		
			幹上		
			搪塞		
			搪塞過去		
			搏鬥		
			搶奪		
			搖尾乞憐		
			搗蛋		
			敬陪末座		
			新仇舊恨		
			譭謗		
			滅亡		
			滅口		
			滅絕		
			溘逝		
			煞費		
			煞費苦心		
			裝死		
			裝肖唯		
			裝屎		
			裝模做樣		
			違反		
			違抗		
			違拗		
			違建		
			違背		
			違悖		
			違規		
			違章		
			違章式		
			違禁		
			彆扭		
			慚不慚愧		
			慚愧		
			慘不忍睹		
			慘死		
			慘烈		
			慘敗		
			慘痛		
			慘絕人寰		
			慘綠		
			疑心		
			疑心病		
			疑忌		
			疑神疑鬼		
			疑問		
			疑惑		
			疑雲		
			疑慮		
			疑懼		
			睡不著		
			厭倦		
			厭惡		
			厭煩		
			禍延		
			禍害		
			禍國殃民		
			窩囊		
			腐朽		
			舔鳥蛋		
			骯髒		
			墮落		
			廢物		
			廢話		
			鄙視		
			敵視		
			敵對		
			暴力		
			暴戾		
			暴戾之氣		
			暴客		
			暴發		
			暴發出		
			暴發出來		
			暴敵		
			潑冷水		
			瞎了狗眼		
			瞎了眼		
			瞎扯		
			瞎眼		
			蔑視		
			賤人		
			賤女人		
			賤男人		
			賤命		
			賤命一條		
			賤招		
			賤貨		
			賤種		
			靠ど		
			靠不住		
			靠夭		
			靠北		
			靠母		
			靠啊		
			靠腰		
			餓死		
			餓死光		
			餓昏		
			餓饉		
			駛你母		
			鬧大		
			鬧事		
			鬧革命		
			鬧鬼		
			鬧得不可開交		
			鬧得不愉快		
			鬧情緒		
			鬧彆扭		
			鬧僵		
			鬧翻		
			噪音		
			器焰囂張		
			學不來		
			學壞		
			憑什麼		
			橫刀奪愛		
			橫行霸道		
			機八		
			機八毛		
			機八事		
			機歪		
			機買		
			機機歪歪		
			錯的是你		
			濫用職權		
			濫老師		
			濫挖		
			濫砍		
			濫捕		
			濫葬		
			厭惡		
			糞尿		
			瞧不起		
			覬覦		
			雜碎		
			醜惡		
			壞心		
			壞心腸		
			壞水		
			壞去		
			壞掉		
			壞蛋		
			壟斷		
			觸犯		
			觸怒		
			囉唆		
			囉哩吧唆		
			讓人訐		
			讓你好看		
			讓你死		
			鑽牛角尖		
			髒話		
			變相		
			變態		
			蠢人		
			蠢女		
			蠢牛		
			蠢呆		
			蠢男		
			蠢婦		
			蠢蛋		
			蠢斃		
			蠢舉		
			蠢翻		
			蠢翻了		
			蠢驢		
			孬種		
			揶揄		
